"election_month","election_type","office_key","gid","gid_level","glabel","candidate","candidate_major","candidate_party","candidate_party_major","metric_desc","metric"
201611,"general","pr","29153","county","Ozark","clinton","clinton","democrat","democrat","votes",724
201611,"general","pr","29155","county","Pemiscot","clinton","clinton","democrat","democrat","votes",1947
201611,"general","pr","29157","county","Perry","clinton","clinton","democrat","democrat","votes",1520
201611,"general","pr","29159","county","Pettis","clinton","clinton","democrat","democrat","votes",4324
201611,"general","pr","29161","county","Phelps","clinton","clinton","democrat","democrat","votes",4766
201611,"general","pr","29163","county","Pike","clinton","clinton","democrat","democrat","votes",1806
201611,"general","pr","29165","county","Platte","clinton","clinton","democrat","democrat","votes",20057
201611,"general","pr","29167","county","Polk","clinton","clinton","democrat","democrat","votes",2631
201611,"general","pr","29169","county","Pulaski","clinton","clinton","democrat","democrat","votes",2922
201611,"general","pr","29171","county","Putnam","clinton","clinton","democrat","democrat","votes",353
201611,"general","pr","29173","county","Ralls","clinton","clinton","democrat","democrat","votes",1138
201611,"general","pr","29175","county","Randolph","clinton","clinton","democrat","democrat","votes",2283
201611,"general","pr","29177","county","Ray","clinton","clinton","democrat","democrat","votes",3090
201611,"general","pr","29179","county","Reynolds","clinton","clinton","democrat","democrat","votes",540
201611,"general","pr","29181","county","Ripley","clinton","clinton","democrat","democrat","votes",830
201611,"general","pr","29195","county","Saline","clinton","clinton","democrat","democrat","votes",2789
201611,"general","pr","29197","county","Schuyler","clinton","clinton","democrat","democrat","votes",354
201611,"general","pr","29199","county","Scotland","clinton","clinton","democrat","democrat","votes",365
201611,"general","pr","29201","county","Scott","clinton","clinton","democrat","democrat","votes",3575
201611,"general","pr","29203","county","Shannon","clinton","clinton","democrat","democrat","votes",776
201611,"general","pr","29205","county","Shelby","clinton","clinton","democrat","democrat","votes",606
201611,"general","pr","29183","county","St. Charles","clinton","clinton","democrat","democrat","votes",68626
201611,"general","pr","29185","county","St. Clair","clinton","clinton","democrat","democrat","votes",936
201611,"general","pr","29187","county","St. Francois","clinton","clinton","democrat","democrat","votes",6250
